kind,date,block,actual,pred
backtest,2026-06-10,,5.4284,5.0403
backtest,2026-06-11,,4.5865,4.9151
backtest,2026-06-12,,3.7551,4.2967
backtest,2026-06-13,,3.3181,3.4628
backtest,2026-06-14,,2.4611,2.6144
backtest,2026-06-15,,3.7293,3.6105
backtest,2026-06-16,,4.2894,3.9494
backtest,2026-06-17,,4.9907,4.5132
backtest,2026-06-18,,5.8406,4.9883
backtest,2026-06-19,,6.3983,5.4957
backtest,2026-06-20,,6.2285,5.3954
backtest,2026-06-21,,5.7104,5.0824
backtest,2026-06-22,,6.2532,5.1926
backtest,2026-06-23,,5.7151,5.1292
backtest,2026-06-24,,4.7677,5.0318
backtest,2026-06-25,,4.5668,4.6095
backtest,2026-06-26,,5.5377,3.7123
backtest,2026-06-27,,6.2878,4.8076
backtest,2026-06-28,,5.9653,5.5071
backtest,2026-06-29,,6.4382,5.9342
backtest,2026-06-30,,6.122,5.4031
backtest,2026-07-01,,5.7907,5.4406
backtest,2026-07-02,,4.888,5.0032
backtest,2026-07-03,,4.2407,4.4331
backtest,2026-07-04,,3.3256,3.8005
backtest,2026-07-05,,2.5511,2.664
backtest,2026-07-06,,3.9171,3.3423
backtest,2026-07-07,,3.0365,3.5633
backtest,2026-07-08,,3.2898,3.3823
backtest,2026-07-09,,3.1101,3.2807
next_day,2026-07-10,,,3.0243
next_block,2026-07-10,1,,4.0115
next_block,2026-07-10,2,,4.0093
next_block,2026-07-10,3,,3.854
next_block,2026-07-10,4,,3.8051
next_block,2026-07-10,5,,3.6116
next_block,2026-07-10,6,,3.609
next_block,2026-07-10,7,,3.4863
next_block,2026-07-10,8,,3.4249
next_block,2026-07-10,9,,3.2258
next_block,2026-07-10,10,,3.2143
next_block,2026-07-10,11,,3.0243
next_block,2026-07-10,12,,3.0215
next_block,2026-07-10,13,,3.3044
next_block,2026-07-10,14,,3.2935
next_block,2026-07-10,15,,3.2329
next_block,2026-07-10,16,,3.2806
next_block,2026-07-10,17,,3.2873
next_block,2026-07-10,18,,3.2977
next_block,2026-07-10,19,,3.3068
next_block,2026-07-10,20,,3.2989
next_block,2026-07-10,21,,3.2302
next_block,2026-07-10,22,,3.3332
next_block,2026-07-10,23,,3.6076
next_block,2026-07-10,24,,3.6312
next_block,2026-07-10,25,,3.6752
next_block,2026-07-10,26,,3.7175
next_block,2026-07-10,27,,3.4632
next_block,2026-07-10,28,,3.4392
next_block,2026-07-10,29,,3.2989
next_block,2026-07-10,30,,3.1768
next_block,2026-07-10,31,,2.5335
next_block,2026-07-10,32,,2.3582
next_block,2026-07-10,33,,2.1996
next_block,2026-07-10,34,,2.0227
next_block,2026-07-10,35,,1.713
next_block,2026-07-10,36,,1.641
next_block,2026-07-10,37,,1.1458
next_block,2026-07-10,38,,1.0899
next_block,2026-07-10,39,,0.9831
next_block,2026-07-10,40,,0.8382
next_block,2026-07-10,41,,0.5124
next_block,2026-07-10,42,,0.4776
next_block,2026-07-10,43,,0.4712
next_block,2026-07-10,44,,0.4318
next_block,2026-07-10,45,,0.4484
next_block,2026-07-10,46,,0.4415
next_block,2026-07-10,47,,0.4351
next_block,2026-07-10,48,,0.4351
next_block,2026-07-10,49,,0.3267
next_block,2026-07-10,50,,0.3285
next_block,2026-07-10,51,,0.3234
next_block,2026-07-10,52,,0.3275
next_block,2026-07-10,53,,0.3067
next_block,2026-07-10,54,,0.3076
next_block,2026-07-10,55,,0.3199
next_block,2026-07-10,56,,0.3174
next_block,2026-07-10,57,,0.3299
next_block,2026-07-10,58,,0.3544
next_block,2026-07-10,59,,0.4593
next_block,2026-07-10,60,,0.5111
next_block,2026-07-10,61,,0.5939
next_block,2026-07-10,62,,1.0829
next_block,2026-07-10,63,,1.2749
next_block,2026-07-10,64,,1.7257
next_block,2026-07-10,65,,1.8756
next_block,2026-07-10,66,,1.897
next_block,2026-07-10,67,,2.0131
next_block,2026-07-10,68,,2.1211
next_block,2026-07-10,69,,2.0669
next_block,2026-07-10,70,,2.1333
next_block,2026-07-10,71,,2.1987
next_block,2026-07-10,72,,2.2106
next_block,2026-07-10,73,,2.2691
next_block,2026-07-10,74,,2.3889
next_block,2026-07-10,75,,2.8466
next_block,2026-07-10,76,,3.1064
next_block,2026-07-10,77,,3.7112
next_block,2026-07-10,78,,3.7691
next_block,2026-07-10,79,,4.237
next_block,2026-07-10,80,,4.6413
next_block,2026-07-10,81,,5.0111
next_block,2026-07-10,82,,5.0827
next_block,2026-07-10,83,,5.2414
next_block,2026-07-10,84,,5.1055
next_block,2026-07-10,85,,5.5687
next_block,2026-07-10,86,,6.0606
next_block,2026-07-10,87,,7.3393
next_block,2026-07-10,88,,9.8011
next_block,2026-07-10,89,,9.8442
next_block,2026-07-10,90,,9.8122
next_block,2026-07-10,91,,9.8709
next_block,2026-07-10,92,,9.8387
next_block,2026-07-10,93,,7.7075
next_block,2026-07-10,94,,7.186
next_block,2026-07-10,95,,5.8217
next_block,2026-07-10,96,,5.3123
